"","ELPE.AT.Open","ELPE.AT.High","ELPE.AT.Low","ELPE.AT.Close","ELPE.AT.Volume","ELPE.AT.Adjusted"
"2021-04-07",5.80000019073486,5.90000009536743,5.71999979019165,5.71999979019165,114751,3.60619854927063
"2021-04-08",5.69999980926514,5.80000019073486,5.67000007629395,5.67999982833862,172395,3.58097982406616
"2021-04-09",5.73999977111816,5.80000019073486,5.65999984741211,5.65999984741211,150055,3.56837177276611
"2021-04-12",5.65999984741211,5.92000007629395,5.65999984741211,5.86999988555908,122166,3.70076680183411
"2021-04-13",5.86999988555908,5.92000007629395,5.78999996185303,5.86999988555908,77188,3.70076680183411
"2021-04-14",5.86999988555908,5.90000009536743,5.80000019073486,5.84999990463257,53546,3.68815779685974
"2021-04-15",5.88000011444092,5.94000005722046,5.82000017166138,5.8600001335144,57449,3.69446206092834
"2021-04-16",5.8600001335144,5.94999980926514,5.82999992370605,5.92999982833862,67936,3.73859429359436
"2021-04-19",5.82000017166138,5.86999988555908,5.75,5.76999998092651,57212,3.6377215385437
"2021-04-20",5.78000020980835,5.84000015258789,5.69999980926514,5.71999979019165,39745,3.60619854927063
"2021-04-21",5.69000005722046,5.71999979019165,5.63000011444092,5.63000011444092,71108,3.54945802688599
"2021-04-22",5.6399998664856,5.88000011444092,5.6399998664856,5.78999996185303,79198,3.65033078193665
"2021-04-23",5.71999979019165,5.92999982833862,5.71999979019165,5.8600001335144,49572,3.69446206092834
"2021-04-26",5.96000003814697,6,5.8899998664856,5.94999980926514,93390,3.75120329856873
"2021-04-27",5.94999980926514,6.01000022888184,5.84000015258789,5.84000015258789,73218,3.68185305595398
"2021-04-28",5.84000015258789,5.92999982833862,5.71999979019165,5.84000015258789,66798,3.68185305595398
"2021-04-29",5.80000019073486,5.96000003814697,5.78000020980835,5.78000020980835,67412,3.6440258026123
"2021-05-05",5.86999988555908,5.8899998664856,5.75,5.88000011444092,25567,3.70707178115845
"2021-05-06",5.92000007629395,6.23000001907349,5.92000007629395,6.19999980926514,371148,3.90881729125977
"2021-05-07",6.19999980926514,6.30000019073486,6.13000011444092,6.15999984741211,293362,3.88359832763672
