"","GD.AT.Open","GD.AT.High","GD.AT.Low","GD.AT.Close","GD.AT.Volume","GD.AT.Adjusted"
"2021-04-07",879,884.5,875.909973144531,881.489990234375,62462400,881.489990234375
"2021-04-08",881.440002441406,886.150024414062,880.97998046875,884.77001953125,49390900,884.77001953125
"2021-04-09",883.179992675781,891.690002441406,882.72998046875,891.690002441406,43393400,891.690002441406
"2021-04-12",894.260009765625,903.450012207031,893.619995117188,897.549987792969,53497000,897.549987792969
"2021-04-13",900.150024414062,903.219970703125,894.72998046875,899.900024414062,44030000,899.900024414062
"2021-04-14",899.580017089844,902.900024414062,895.130004882812,902.039978027344,47753900,902.039978027344
"2021-04-15",904.039978027344,907.049987792969,902.52001953125,905.309997558594,48451500,905.309997558594
"2021-04-16",904.099975585938,907.739990234375,897.469970703125,898.630004882812,30154100,898.630004882812
"2021-04-19",895.359985351562,896.289978027344,873.340026855469,875.760009765625,35187600,875.760009765625
"2021-04-20",874.289978027344,883.090026855469,869.5,876.760009765625,39595500,876.760009765625
"2021-04-21",876.739990234375,881.049987792969,870.390014648438,875.440002441406,37350600,875.440002441406
"2021-04-22",878.429992675781,896.820007324219,878.429992675781,893.760009765625,43925900,893.760009765625
"2021-04-23",894.760009765625,899.580017089844,890.890014648438,899.580017089844,37938900,899.580017089844
"2021-04-26",906.609985351562,919.210021972656,906.609985351562,913.119995117188,38842300,913.119995117188
"2021-04-27",914.619995117188,918.950012207031,903.440002441406,903.440002441406,32233500,903.440002441406
"2021-04-28",904.359985351562,910.710021972656,897.349975585938,910.369995117188,29723700,910.369995117188
"2021-04-29",912.530029296875,919.049987792969,910.369995117188,910.369995117188,29952900,910.369995117188
"2021-05-05",913.760009765625,914.710021972656,908.440002441406,911.419982910156,32419000,911.419982910156
"2021-05-06",911.090026855469,917.299987792969,908.140014648438,910.210021972656,48329200,910.210021972656
"2021-05-07",910.109985351562,911.669982910156,891.849975585938,897.010009765625,133191700,897.010009765625
"2021-05-10",901.25,912.679992675781,900.890014648438,906.070007324219,47556000,906.070007324219
"2021-05-11",896.390014648438,896.390014648438,886.580017089844,896.039978027344,45237700,896.039978027344
